GroupCode,CountryGroup,Country,M49Code
5817,Net Food Importing Developing Countries,Jamaica,388
5817,Net Food Importing Developing Countries,Jordan,400
5817,Net Food Importing Developing Countries,Kenya,404
5817,Net Food Importing Developing Countries,Kiribati,296
5817,Net Food Importing Developing Countries,Lao People's Democratic Republic,418
5817,Net Food Importing Developing Countries,Lesotho,426
5817,Net Food Importing Developing Countries,Liberia,430
5817,Net Food Importing Developing Countries,Madagascar,450
5817,Net Food Importing Developing Countries,Malawi,454
5817,Net Food Importing Developing Countries,Maldives,462
5817,Net Food Importing Developing Countries,Mali,466
5817,Net Food Importing Developing Countries,Mauritania,478
5817,Net Food Importing Developing Countries,Mauritius,480
5817,Net Food Importing Developing Countries,Mongolia,496
5817,Net Food Importing Developing Countries,Morocco,504
5817,Net Food Importing Developing Countries,Mozambique,508
5817,Net Food Importing Developing Countries,Myanmar,104
5817,Net Food Importing Developing Countries,Namibia,516
5817,Net Food Importing Developing Countries,Nepal,524
5817,Net Food Importing Developing Countries,Niger,562
5817,Net Food Importing Developing Countries,Pakistan,586
5817,Net Food Importing Developing Countries,Peru,604
5817,Net Food Importing Developing Countries,Rwanda,646
5817,Net Food Importing Developing Countries,Saint Kitts and Nevis,659
5817,Net Food Importing Developing Countries,Saint Lucia,662
5817,Net Food Importing Developing Countries,Saint Vincent and the Grenadines,670
5817,Net Food Importing Developing Countries,Sao Tome and Principe,678
5817,Net Food Importing Developing Countries,Senegal,686
5817,Net Food Importing Developing Countries,Sierra Leone,694
5817,Net Food Importing Developing Countries,Solomon Islands,90
5817,Net Food Importing Developing Countries,Somalia,706
5817,Net Food Importing Developing Countries,South Sudan,728
5817,Net Food Importing Developing Countries,Sri Lanka,144
5817,Net Food Importing Developing Countries,Sudan,729
5817,Net Food Importing Developing Countries,Sudan (former),736
5817,Net Food Importing Developing Countries,Timor-Leste,626
5817,Net Food Importing Developing Countries,Togo,768
5817,Net Food Importing Developing Countries,Trinidad and Tobago,780
5817,Net Food Importing Developing Countries,Tunisia,788
5817,Net Food Importing Developing Countries,Tuvalu,798
5817,Net Food Importing Developing Countries,Uganda,800
5817,Net Food Importing Developing Countries,United Republic of Tanzania,834
5817,Net Food Importing Developing Countries,Vanuatu,548
5817,Net Food Importing Developing Countries,Venezuela (Bolivarian Republic of),862
5817,Net Food Importing Developing Countries,Yemen,887
5817,Net Food Importing Developing Countries,Zambia,894
5103,Northern Africa,Algeria,12
5103,Northern Africa,Egypt,818
5103,Northern Africa,Libya,434
